sheet_name,raw_sugar_color,raw_syrup_brix,raw_syrup_color,lime_alkalinity,co2_percent,carbonated_alkalinity,carbonated_pH,filtercake_moisture,filtercake_sugar,sweetwater_brix,sulphited_pH,sulphited_brix,sulphited_color,standard_liquor_pH,standard_liquor_brix,standard_liquor_color,white_moisture,white_invert,white_solution_color,white_apparent_color,white_ash,white_total_points
7.2,1171,62.72,2429,7.38,10.65,0,7.84,27.89,0.31,36.34,6.79,65.83,460,6.89,62.23,444,14.3,14.3,14.3,14.3,14.3,14.3
7.21,898,62.45,2451,7.92,10.91,0,7.37,27.95,0.12,28.97,6.8,63.12,452,7.06,61.43,443,15.25,15.25,15.25,15.25,15.25,15.25
7.22,1184,61.48,2414,8.3,11.01,0,7.54,27.42,0.1,33.68,6.9,63.32,404,7,61.62,378,13.11,13.11,13.11,13.11,13.11,13.11
7.23,1698,62.72,2850,8.38,11.26,0,7.85,27.82,0.14,16.16,6.63,63.67,524,6.95,60.48,477,16.05,16.05,16.05,16.05,16.05,16.05
7.24,1296,58.63,2524,8.08,10.84,0,7.32,28.32,0.17,24.82,6.4,63.18,372,6.72,61.18,354,13.16,13.16,13.16,13.16,13.16,13.16
7.25,2363,62.7,4356,10.68,10.89,0,7.35,28.06,0.12,32.88,6.48,61.77,570,6.6,59.62,579,17.21,17.21,17.21,17.21,17.21,17.21
7.26,2047,61.03,4318,8.83,10.84,0,7.34,28.09,0.29,20.82,6.71,60.5,601,6.77,60.1,602,18.52,18.52,18.52,18.52,18.52,18.52
7.27,2102,61.63,4283,9.73,11.05,0,7.73,28.06,0.18,14.71,6.82,58.82,661,7.12,58.17,711,18.35,18.35,18.35,18.35,18.35,18.35
7.28,2074,59.97,4497,9,11.24,0,7.79,28.2,0.07,14.32,6.77,57.72,620,7.05,57.52,637,18.9,18.9,18.9,18.9,18.9,18.9
7.29,2019,59.25,4545,9.93,10.9,0,7.6,28.07,0.39,14.45,7.06,59.45,683,6.89,59.06,624,21.21,21.21,21.21,21.21,21.21,21.21
7.3,2091,60.57,4249,9,10.68,0,7.67,28.02,0.12,18.19,6.74,58.72,527,7.15,58.78,544,20.15,20.15,20.15,20.15,20.15,20.15
8.01,2592,60.78,4526,8.56,11.01,0,7.83,28.06,0.1,20.46,6.93,61.38,683,7.3,60.43,622,22.52,22.52,22.52,22.52,22.52,22.52
8.02,2378,58.17,4620,10.3,10.92,0.01,8.01,28.04,0.39,20.96,6.74,61.37,623,7.06,62.03,562,23.52,23.52,23.52,23.52,23.52,23.52
8.03,2231,63.69,4215,9.47,10.92,0,7.65,28.72,0.19,26.71,6.89,61.05,578,6.93,60.52,564,23.59,23.59,23.59,23.59,23.59,23.59
8.04,2333,61.62,4345,10.08,10.71,0,7.43,27.32,0.26,12.89,6.53,59.33,458,6.87,57.87,573,16.69,16.69,16.69,16.69,16.69,16.69
8.05,2447,62,4581,10.02,10.71,0,7.68,28.51,0.14,15.64,6.66,56.27,633,6.95,56.82,642,15.34,15.34,15.34,15.34,15.34,15.34
8.06,2248,62.1,4178,10.55,11.01,0,8.03,28.71,0.17,17.45,7.24,60.9,557,7.09,59.52,510,13.1,13.1,13.1,13.1,13.1,13.1
